1	1	1	5	5	1	1	1	1	0	0
2	1	1	5	5	1	1	1	1	0	0
3	0	1	5	0	0	1	0	1	0	0
4	1	1	5	5	1	1	1	1	0	0
5	1	1	5	5	1	1	1	1	0	0
6	1	1	5	5	1	1	1	1	0	0
7	2	0	5	5	1	1	1	1	0	0
8	0	1	5	0	1	0	0	1	0	0
9	0	1	5	0	0	1	0	1	0	0
10	1	0	0	5	1	0	1	0	0	0
11	1	1	5	5	1	1	0	2	0	0
12	1	1	5	5	1	1	1	1	0	0
13	1	1	5	5	1	1	1	1	0	0
14	1	1	5	5	1	1	0	2	0	0
15	0	1	5	0	0	1	0	1	0	0
16	0	1	5	0	0	1	0	1	0	0
17	1	1	5	5	2	0	1	1	0	0
18	1	1	5	5	1	1	1	1	0	0
19	1	1	5	5	1	1	0	2	0	0
20	1	0	0	5	1	0	1	0	0	0
21	1	1	5	5	1	1	1	1	0	0
22	1	1	5	5	1	1	1	1	0	0
23	1	2	6	9	3	0	2	1	0	0
24	0	2	5	5	0	2	1	1	0	0
25	1	1	5	5	1	1	1	1	0	0
26	1	1	5	5	1	1	1	1	0	0
27	1	0	0	5	1	0	1	0	0	0
28	0	2	5	5	1	1	1	1	0	0
29	1	1	5	5	1	1	1	1	0	0
30	2	1	8	7	0	3	1	2	0	0
31	0	2	5	5	1	1	1	1	0	0
32	1	0	0	5	1	0	1	0	0	0
33	1	1	5	5	1	1	1	1	0	0
34	1	1	5	5	1	1	1	1	0	0
35	1	1	5	5	1	1	1	1	0	0
36	1	1	5	5	1	1	1	1	0	0
37	0	2	5	5	1	1	2	0	0	0
38	1	1	5	5	1	1	1	1	0	0
39	1	1	5	5	1	1	0	2	0	0
40	1	1	5	5	1	1	1	1	0	0
41	0	1	5	0	0	1	0	1	0	0
42	1	1	5	5	1	1	1	1	0	0
43	1	1	5	5	1	1	1	1	0	0
44	0	1	5	0	0	1	0	1	0	0
45	1	1	5	5	2	0	0	2	0	0
46	1	1	5	5	1	1	1	1	0	0
47	1	1	5	5	1	1	0	2	0	0
48	0	1	5	0	0	1	0	1	0	0
49	1	0	0	5	1	0	0	1	0	0
50	1	1	5	5	1	1	1	1	0	0
51	1	1	5	5	1	1	1	1	0	0
52	1	1	5	5	1	1	2	0	0	0
53	1	1	5	5	1	1	2	0	0	0
54	0	2	5	5	1	1	1	1	0	0
55	1	1	5	5	0	2	1	1	0	0
56	1	1	5	5	1	1	1	1	0	0
57	1	1	5	5	1	1	1	1	0	0
58	0	1	5	0	0	1	1	0	0	0
59	0	1	5	0	0	1	0	1	0	0
60	1	1	5	5	1	1	0	2	0	0
61	1	1	6	4	0	2	0	2	0	0
62	1	1	5	5	1	1	1	1	0	0
63	0	1	5	0	1	0	0	1	0	0
64	1	0	0	5	1	0	1	0	0	0
65	1	0	0	5	1	0	1	0	0	0
66	1	1	5	5	1	1	2	0	0	0
67	1	1	5	5	1	1	1	1	0	0
68	0	2	5	5	1	1	1	1	0	0
69	1	1	5	5	1	1	1	1	0	0
70	2	0	5	5	1	1	1	1	0	0
71	0	2	5	5	0	2	1	1	0	0
72	1	1	5	5	1	1	1	1	0	0
73	1	1	5	5	1	1	0	2	0	0
74	1	1	5	5	1	1	1	1	0	0
75	1	1	5	5	1	1	1	1	0	0
76	0	2	5	5	1	1	1	1	0	0
77	1	1	5	5	1	1	1	1	0	0
78	0	2	5	5	0	2	1	1	0	0
79	1	0	0	5	1	0	1	0	0	0
80	1	1	5	5	0	2	1	1	0	0
81	1	1	5	5	1	1	1	1	0	0
82	1	0	0	5	1	0	1	0	0	0
83	1	1	5	5	1	1	1	1	0	0
84	1	2	8	7	2	1	2	1	0	0
85	2	0	5	5	1	1	1	1	0	0
86	1	1	5	5	1	1	1	1	0	0
87	1	1	5	5	1	1	1	1	0	0
88	1	0	5	0	0	1	0	1	0	0
89	1	1	5	5	1	1	1	1	0	0
90	0	2	6	4	1	1	0	2	0	0
91	1	1	5	5	1	1	2	0	0	0
92	1	0	0	5	1	0	1	0	0	0
93	1	1	5	5	1	1	1	1	0	0
94	1	1	5	5	1	1	1	1	0	0
95	1	1	5	5	1	1	1	1	0	0
96	1	1	5	5	1	1	1	1	0	0
97	1	1	5	5	1	1	1	1	0	0
98	1	1	5	5	2	0	0	2	0	0
99	1	1	5	5	0	2	1	1	0	0
100	1	0	0	5	1	0	1	0	0	0
101	1	1	5	5	1	1	1	1	0	0
102	0	2	5	5	1	1	2	0	0	0
103	0	2	5	5	1	1	0	2	0	0
104	1	1	5	5	2	0	1	1	0	0
105	1	1	5	5	1	1	0	2	0	0
106	1	0	0	5	0	1	1	0	0	0
107	1	1	5	5	1	1	0	2	0	0
108	1	1	5	5	1	1	2	0	0	0
109	1	1	5	5	1	1	0	2	0	0
110	1	1	5	5	1	1	1	1	0	0
111	1	1	5	5	1	1	0	2	0	0
112	0	1	5	0	0	1	0	1	0	0
113	0	1	5	0	0	1	0	1	0	0
114	0	1	5	0	0	1	0	1	0	0
115	1	1	5	5	1	1	0	2	0	0
116	1	1	5	5	2	0	1	1	0	0
117	0	1	5	0	0	1	0	1	0	0
118	1	1	5	5	1	1	1	1	0	0
119	1	1	5	5	1	1	1	1	0	0
120	1	0	0	5	1	0	1	0	0	0
121	1	1	5	5	1	1	1	1	0	0
122	1	1	5	5	1	1	1	1	0	0
123	0	2	5	5	1	1	2	0	0	0
124	0	2	5	5	2	0	1	1	0	0
125	1	1	5	5	0	2	1	1	0	0
126	0	2	5	5	1	1	1	1	0	0
127	1	1	5	5	1	1	1	1	0	0
128	1	1	5	5	1	1	1	1	0	0
129	1	1	5	5	1	1	1	1	0	0
130	1	1	5	5	1	1	0	2	0	0
131	1	1	5	5	1	1	1	1	0	0
132	1	0	0	5	1	0	1	0	0	0
133	1	1	5	5	1	1	1	1	0	0
134	1	1	5	5	1	1	1	1	0	0
135	0	1	5	0	0	1	0	1	0	0
136	0	1	5	0	0	1	0	1	0	0
137	1	1	5	5	1	1	2	0	0	0
138	1	0	0	5	1	0	1	0	0	0
139	1	1	5	5	2	0	1	1	0	0
140	1	1	5	5	1	1	0	2	0	0
141	1	1	5	5	1	1	1	1	0	0
142	1	1	5	5	0	2	1	1	0	0
143	1	0	0	5	1	0	1	0	0	0
144	1	0	0	5	1	0	1	0	0	0
145	1	1	5	5	1	1	2	0	0	0
146	0	2	5	5	1	1	2	0	0	0
147	1	1	5	5	0	2	0	2	0	0
148	0	1	5	0	0	1	0	1	0	0
149	1	0	0	5	0	1	1	0	0	0
150	1	1	5	5	1	1	1	1	0	0
151	1	1	5	5	0	2	1	1	0	0
152	0	1	5	0	0	1	0	1	0	0
153	1	0	0	5	1	0	0	1	0	0
154	1	1	5	5	1	1	1	1	0	0
155	1	0	0	5	1	0	1	0	0	0
156	0	2	5	5	0	2	1	1	0	0
157	1	1	5	5	1	1	1	1	0	0
158	1	1	5	5	1	1	1	1	0	0
159	1	1	5	5	1	1	1	1	0	0
160	1	1	5	5	1	1	1	1	0	0
161	1	1	5	5	1	1	1	1	0	0
162	1	1	5	5	1	1	0	2	0	0
163	1	0	0	5	1	0	1	0	0	0
164	1	1	5	5	1	1	1	1	0	0
165	1	1	5	5	1	1	1	1	0	0
166	1	1	5	5	1	1	0	2	0	0
167	1	1	5	5	1	1	1	1	0	0
168	1	1	5	5	1	1	1	1	0	0
169	1	0	0	5	1	0	1	0	0	0
170	1	1	10	0	0	2	0	2	0	0
171	0	2	5	5	0	2	2	0	0	0
172	0	2	5	5	1	1	2	0	0	0
173	1	1	5	5	2	0	1	1	0	0
174	0	2	5	5	1	1	1	1	0	0
175	0	2	5	5	1	1	1	1	0	0
176	1	1	5	5	1	1	1	1	0	0
177	1	0	0	5	0	1	1	0	0	0
178	1	1	5	5	1	1	1	1	0	0
179	1	1	5	5	1	1	1	1	0	0
180	0	1	5	0	0	1	0	1	0	0
181	1	1	5	5	1	1	1	1	0	0
182	1	1	5	5	1	1	1	1	0	0
183	1	1	5	5	1	1	1	1	0	0
184	0	1	5	0	0	1	1	0	0	0
185	0	1	5	0	0	1	0	1	0	0
186	1	1	5	5	2	0	1	1	0	0
187	1	1	5	5	1	1	1	1	0	0
188	0	1	5	0	0	1	0	1	0	0
189	1	1	5	5	1	1	1	1	0	0
190	0	2	5	5	1	1	1	1	0	0
191	1	1	5	5	1	1	1	1	0	0
192	1	0	0	5	1	0	1	0	0	0
193	1	0	0	5	1	0	1	0	0	0
194	1	1	5	5	1	1	0	2	0	0
195	0	1	5	0	0	1	0	1	0	0
196	1	0	0	5	1	0	1	0	0	0
197	1	1	5	5	1	1	1	1	0	0
198	1	2	10	5	0	3	2	1	0	0
199	0	1	5	0	0	1	0	1	0	0
200	1	0	0	5	1	0	1	0	0	0
201	2	0	5	5	1	1	1	1	0	0
202	1	1	5	5	1	1	2	0	0	0
203	1	0	0	5	1	0	1	0	0	0
204	1	1	5	5	1	1	1	1	0	0
205	0	2	5	5	1	1	1	1	0	0
206	1	1	5	5	1	1	1	1	0	0
207	1	1	5	5	1	1	0	2	0	0
208	1	1	5	5	1	1	1	1	0	0
209	1	1	5	5	0	2	1	1	0	0
210	1	1	5	5	1	1	1	1	0	0
211	1	1	5	5	1	1	1	1	0	0
212	0	2	5	5	1	1	1	1	0	0
213	1	1	5	5	0	2	1	1	0	0
214	1	1	5	5	1	1	0	2	0	0
215	0	1	5	0	0	1	0	1	0	0
216	1	0	0	5	1	0	1	0	0	0
217	1	1	5	5	1	1	1	1	0	0
218	1	1	5	5	1	1	1	1	0	0
219	1	1	5	5	0	2	1	1	0	0
220	0	2	5	5	1	1	0	2	0	0
221	1	1	5	5	1	1	1	1	0	0
222	1	1	5	5	1	1	1	1	0	0
223	1	1	5	5	1	1	1	1	0	0
224	1	0	0	5	1	0	1	0	0	0
225	0	2	5	5	1	1	0	2	0	0
226	1	1	5	5	1	1	0	2	0	0
227	1	1	5	5	1	1	2	0	0	0
228	0	1	5	0	0	1	0	1	0	0
229	0	2	5	5	1	1	1	1	0	0
230	1	1	5	5	1	1	1	1	0	0
231	1	1	5	5	1	1	1	1	0	0
232	1	0	0	5	1	0	1	0	0	0
233	1	1	5	5	2	0	1	1	0	0
234	1	1	5	5	1	1	2	0	0	0
235	1	1	5	5	1	1	0	2	0	0
236	1	1	5	5	1	1	1	1	0	0
237	2	1	11	4	1	2	1	2	0	0
238	1	1	5	5	2	0	1	1	0	0
239	0	1	5	0	0	1	0	1	0	0
240	0	1	5	0	0	1	0	1	0	0
241	1	1	5	5	1	1	1	1	0	0
242	0	1	5	0	0	1	0	1	0	0
243	1	1	5	5	1	1	1	1	0	0
244	1	1	5	5	1	1	1	1	0	0
245	0	2	5	5	1	1	2	0	0	0
246	1	1	5	5	1	1	1	1	0	0
247	1	1	5	5	1	1	1	1	0	0
248	1	1	5	5	1	1	1	1	0	0
249	1	1	5	5	0	2	1	1	0	0
250	1	1	5	5	0	2	1	1	0	0
251	1	1	5	5	1	1	1	1	0	0
252	1	1	5	5	1	1	0	2	0	0
253	1	1	5	5	1	1	2	0	0	0
254	0	1	5	0	0	1	0	1	0	0
255	0	1	5	0	0	1	0	1	0	0
256	1	1	5	5	1	1	1	1	0	0
257	1	1	5	5	1	1	1	1	0	0
258	0	1	5	0	0	1	0	1	0	0
259	0	1	5	0	0	1	0	1	0	0
260	1	1	5	5	1	1	1	1	0	0
261	1	1	5	5	1	1	0	2	0	0
262	1	1	5	5	0	2	1	1	0	0
263	0	1	5	0	0	1	0	1	0	0
264	0	1	5	0	0	1	0	1	0	0
265	1	1	5	5	1	1	1	1	0	0
266	1	1	5	5	0	2	1	1	0	0
267	1	1	5	5	1	1	1	1	0	0
268	2	0	5	5	1	1	1	1	0	0
269	1	1	5	5	1	1	1	1	0	0
270	1	1	5	5	0	2	2	0	0	0
271	1	1	5	5	0	2	1	1	0	0
272	1	1	5	5	1	1	1	1	0	0
273	1	0	0	5	1	0	1	0	0	0
274	1	0	5	0	0	1	0	1	0	0
275	1	1	5	5	1	1	1	1	0	0
276	1	1	5	5	0	2	1	1	0	0
277	1	1	5	5	2	0	0	2	0	0
278	1	1	5	5	1	1	1	1	0	0
279	1	1	5	5	1	1	1	1	0	0
280	1	1	5	5	1	1	1	1	0	0
281	0	2	7	3	0	2	1	1	0	0
282	1	1	5	5	1	1	1	1	0	0
283	1	1	5	5	1	1	1	1	0	0
284	1	0	0	5	1	0	1	0	0	0
285	1	1	5	5	0	2	1	1	0	0
286	1	1	5	5	1	1	1	1	0	0
287	0	1	5	0	0	1	0	1	0	0
288	1	1	5	5	1	1	1	1	0	0
289	1	1	6	4	1	1	0	2	0	0
290	1	0	0	5	1	0	1	0	0	0
291	1	1	5	5	1	1	1	1	0	0
292	1	1	5	5	1	1	0	2	0	0
293	0	1	5	0	0	1	1	0	0	0
294	1	1	5	5	1	1	1	1	0	0
295	1	1	5	5	1	1	1	1	0	0
296	0	2	5	5	1	1	1	1	0	0
297	2	0	5	5	1	1	1	1	0	0
298	1	1	5	5	2	0	0	2	0	0
299	1	1	5	5	0	2	0	2	0	0
300	1	1	5	5	0	2	1	1	0	0
301	1	1	5	5	1	1	2	0	0	0
302	2	0	5	5	1	1	1	1	0	0
303	0	1	5	0	0	1	0	1	0	0
304	1	1	5	5	0	2	1	1	0	0
305	1	0	0	5	0	1	1	0	0	0
306	1	1	5	5	2	0	1	1	0	0
307	1	1	5	5	0	2	1	1	0	0
308	1	1	5	5	1	1	1	1	0	0
309	0	2	5	5	1	1	0	2	0	0
310	0	2	5	5	1	1	2	0	0	0
311	0	1	0	5	1	0	1	0	0	0
312	1	1	5	5	1	1	1	1	0	0
313	0	2	5	5	1	1	0	2	0	0
314	1	1	5	5	1	1	1	1	0	0
315	1	1	5	5	1	1	0	2	0	0
316	1	1	5	5	1	1	1	1	0	0
317	1	0	0	5	1	0	0	1	0	0
318	1	1	5	5	1	1	0	2	0	0
319	1	0	0	5	1	0	1	0	0	0
320	1	1	5	5	1	1	1	1	0	0
321	1	1	5	5	1	1	2	0	0	0
322	1	1	5	5	1	1	1	1	0	0
323	0	2	5	5	1	1	1	1	0	0
324	0	1	5	0	0	1	0	1	0	0
325	1	1	5	5	1	1	1	1	0	0
326	0	2	5	5	1	1	1	1	0	0
327	1	1	5	5	0	2	1	1	0	0
328	1	0	0	5	1	0	1	0	0	0
329	1	1	5	5	1	1	1	1	0	0
330	0	1	5	0	0	1	0	1	0	0
331	1	0	0	5	1	0	0	1	0	0
332	0	2	5	5	1	1	1	1	0	0
333	1	1	5	5	1	1	1	1	0	0
334	1	1	5	5	1	1	1	1	0	0
335	1	1	5	5	1	1	1	1	0	0
336	1	1	5	5	1	1	1	1	0	0
337	1	1	10	0	0	2	0	2	0	0
338	1	1	5	5	1	1	1	1	0	0
339	2	0	5	5	1	1	1	1	0	0
340	1	1	5	5	1	1	1	1	0	0
341	1	1	5	5	1	1	1	1	0	0
342	1	1	5	5	0	2	1	1	0	0
343	1	1	5	5	1	1	0	2	0	0
344	1	1	5	5	1	1	1	1	0	0
345	1	1	5	5	1	1	1	1	0	0
346	1	1	5	5	1	1	1	1	0	0
347	1	1	5	5	2	0	1	1	0	0
348	1	1	5	5	0	2	0	2	0	0
349	1	1	5	5	0	2	1	1	0	0
350	1	1	5	5	1	1	0	2	0	0
351	1	1	5	5	1	1	0	2	0	0
352	1	1	5	5	1	1	1	1	0	0
353	0	2	5	5	0	2	2	0	0	0
354	1	1	5	5	1	1	0	2	0	0
355	1	0	0	5	1	0	1	0	0	0
356	1	1	5	5	0	2	1	1	0	0
357	1	1	5	5	1	1	1	1	0	0
358	1	1	5	5	1	1	1	1	0	0
359	1	1	5	5	1	1	1	1	0	0
360	2	0	5	5	1	1	1	1	0	0
361	1	1	5	5	1	1	1	1	0	0
362	1	0	0	5	1	0	1	0	0	0
363	1	1	5	5	1	1	1	1	0	0
364	0	2	5	5	1	1	1	1	0	0
365	1	1	5	5	1	1	0	2	0	0
366	2	0	5	5	1	1	1	1	0	0
367	1	1	5	5	1	1	0	2	0	0
368	1	1	5	5	2	0	1	1	0	0
369	1	1	5	5	1	1	1	1	0	0
370	1	1	5	5	1	1	1	1	0	0
371	1	0	0	5	1	0	1	0	0	0
372	2	0	5	5	1	1	1	1	0	0
373	0	1	5	0	0	1	0	1	0	0
374	1	0	0	5	0	1	1	0	0	0
375	1	1	5	5	1	1	1	1	0	0
376	0	1	5	0	0	1	1	0	0	0
377	1	1	5	5	1	1	1	1	0	0
378	1	1	5	5	2	0	0	2	0	0
379	1	1	5	5	1	1	1	1	0	0
380	0	1	5	0	0	1	0	1	0	0
381	1	1	5	5	1	1	1	1	0	0
